brand,name,rating,votes,url,last_crawled
EIGHT & BOB,EIGHT & BOB EIGHT & BOB,4.05,1244,https://www.fragrantica.com/perfume/EIGHT-BOB/EIGHT-BOB-16295.html,2025-10-19T21:34:34.191917
Hermès,Rouge Hermès Hermès,4.03,929,https://www.fragrantica.com/perfume/Chanel/Chance-21.html,2025-10-19T21:34:41.022415
Sol de Janeiro,Cheirosa '68 Sol de Janeiro,3.92,4155,https://www.fragrantica.com/perfume/Sol-de-Janeiro/Cheirosa-68-73990.html,2025-10-19T21:34:47.780158
Jean Paul Gaultier,Le Male Elixir Jean Paul Gaultier,4.53,19801,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-Elixir-81642.html,2025-10-19T21:34:54.240734
Dior,Dior Homme Intense 2011 Dior,4.5,22975,https://www.fragrantica.com/perfume/Dior/Dior-Homme-Intense-2011-13016.html,2025-10-19T21:35:01.295547
Amouage,Reflection Man Amouage,4.39,8780,https://www.fragrantica.com/perfume/Amouage/Reflection-Man-920.html,2025-10-19T21:35:08.286501
Lalique,Encre Noire Lalique,4.16,22605,https://www.fragrantica.com/perfume/Lalique/Encre-Noire-1834.html,2025-10-19T21:35:14.932912
Lattafa Perfumes,Teriaq Lattafa Perfumes for women and men,3.8,2311,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Teriaq-89850.html,2025-10-19T21:35:21.739881
Lattafa Perfumes,Bade'e Al Oud Sublime Lattafa Perfumes for women and men,4.18,2125,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Bade-e-Al-Oud-Sublime-83309.html,2025-10-19T21:35:29.159484
EIGHT & BOB,Pure Vienne EIGHT & BOB for women and men,3.88,8,https://www.fragrantica.com/perfume/EIGHT-BOB/Pure-Vienne-108379.html,2025-10-19T21:35:35.673608
Asdaaf,Raneen Asdaaf,4.15,130,https://www.fragrantica.com/perfume/Asdaaf/Raneen-106906.html,2025-10-19T21:35:43.055514
Tom Ford,Grey Vetiver Tom Ford,4.28,7851,https://www.fragrantica.com/perfume/Tom-Ford/Grey-Vetiver-6697.html,2025-10-19T21:35:50.767571
Ffern,Autumn 25 Ffern for women and men,3.57,47,https://www.fragrantica.com/perfume/Ffern/Autumn-25-116143.html,2025-10-19T21:35:58.310221
EIGHT & BOB,Cap d'Antibes EIGHT & BOB,3.69,422,https://www.fragrantica.com/perfume/EIGHT-BOB/Cap-d-Antibes-24674.html,2025-10-19T21:36:05.284981
Creed,Silver Mountain Water Creed for women and men,4.16,9500,https://www.fragrantica.com/perfume/Creed/Silver-Mountain-Water-472.html,2025-10-19T21:36:11.944816
Prada,Prada L'Homme Prada,4.46,14121,https://www.fragrantica.com/perfume/Prada/Prada-L-Homme-39029.html,2025-10-19T21:36:19.605288
Giardini Di Toscana,Bianco Latte Giardini Di Toscana for women and men,4.1,8207,https://www.fragrantica.com/perfume/Giardini-Di-Toscana/Bianco-Latte-64757.html,2025-10-19T21:36:26.614577
Chanel,Bleu de Chanel Eau de Parfum Chanel,4.43,18581,https://www.fragrantica.com/perfume/Chanel/Bleu-de-Chanel-Eau-de-Parfum-25967.html,2025-10-19T21:36:33.987118
EIGHT & BOB,Annicke 5 EIGHT & BOB,4.2,297,https://www.fragrantica.com/perfume/EIGHT-BOB/Annicke-5-57854.html,2025-10-19T21:36:48.388976
Hugo Boss,Boss Number One Hugo Boss,3.94,1857,https://www.fragrantica.com/perfume/Hugo-Boss/Boss-Number-One-6278.html,2025-10-19T21:36:55.791316
Maison Francis Kurkdjian,Baccarat Rouge 540 Maison Francis Kurkdjian for women and men,3.8,25751,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Baccarat-Rouge-540-33519.html,2025-10-19T21:37:02.556150
EIGHT & BOB,Sérénité en Bourgogne EIGHT & BOB for women and men,4.06,16,https://www.fragrantica.com/perfume/EIGHT-BOB/Serenite-en-Bourgogne-108383.html,2025-10-19T21:37:09.979700
Xerjoff,XJ 1861 Naxos Xerjoff for women and men,4.51,15942,https://www.fragrantica.com/perfume/Xerjoff/XJ-1861-Naxos-30529.html,2025-10-19T21:37:17.712416
Creed,Green Irish Tweed Creed,4.3,10865,https://www.fragrantica.com/perfume/Creed/Green-Irish-Tweed-474.html,2025-10-19T21:37:25.039379
EIGHT & BOB,Annicke 2 EIGHT & BOB,3.93,168,https://www.fragrantica.com/perfume/EIGHT-BOB/Annicke-2-51613.html,2025-10-19T21:37:31.699260
French Avenue,Liquid Brun French Avenue,4.53,5071,https://www.fragrantica.com/perfume/French-Avenue/Liquid-Brun-94713.html,2025-10-19T21:37:38.376335
EIGHT & BOB,Le Geste d'Edmond EIGHT & BOB for women and men,4.27,37,https://www.fragrantica.com/perfume/EIGHT-BOB/Le-Geste-d-Edmond-92163.html,2025-10-19T21:37:44.739778
Creed,Aventus Creed,4.33,24095,https://www.fragrantica.com/perfume/Creed/Aventus-9828.html,2025-10-19T21:37:52.220305
Afnan,9pm Afnan,4.41,13615,https://www.fragrantica.com/perfume/Afnan/9pm-65414.html,2025-10-19T21:38:00.001427
