brand,name,rating,votes,url,last_crawled,sex,fragrance_category
Calvin Klein,Eternity for Men Intense Calvin Klein,3.42,206,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-for-Men-Intense-41918.html,2026-02-22T00:51:25.736065,men,Woody Aromatic
Calvin Klein,Eternity for Men Reflections Calvin Klein,3.48,111,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-for-Men-Reflections-79844.html,2026-02-22T00:51:36.080509,men,Aromatic Fougere
Calvin Klein,Eternity For Men Summer 2005 Calvin Klein,4.0,41,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-For-Men-Summer-2005-263.html,2026-02-22T00:51:45.087761,men,Aromatic Fougere
Calvin Klein,Eternity For Men Summer 2006 Calvin Klein,4.0,25,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-For-Men-Summer-2006-261.html,2026-02-22T00:51:53.057232,men,Aromatic Aquatic
Calvin Klein,Eternity For Men Summer 2007 Calvin Klein,4.07,42,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-For-Men-Summer-2007-2812.html,2026-02-22T00:52:02.918080,men,Aromatic Fruity
Calvin Klein,Eternity For Men Summer 2008 Calvin Klein,4.05,62,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-For-Men-Summer-2008-2751.html,2026-02-22T00:52:11.797351,men,Aromatic Fougere
Calvin Klein,Eternity For Men Summer 2009 Calvin Klein,3.36,33,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-For-Men-Summer-2009-5462.html,2026-02-22T00:52:20.826166,men,Aromatic
Calvin Klein,Eternity For Men Summer 2010 Calvin Klein,4.11,76,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-For-Men-Summer-2010-7975.html,2026-02-22T00:52:28.763028,men,Woody Aromatic
Calvin Klein,Eternity for Men Summer 2011 Calvin Klein,4.1,100,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-for-Men-Summer-2011-11342.html,2026-02-22T00:52:37.004194,men,Woody Aromatic
Calvin Klein,Eternity for Men Summer 2012 Calvin Klein,3.8,96,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-for-Men-Summer-2012-14020.html,2026-02-22T00:52:45.102235,men,Aromatic Fougere
Calvin Klein,Eternity for Men Summer 2013 Calvin Klein,3.89,94,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-for-Men-Summer-2013-17563.html,2026-02-22T00:52:53.373115,men,Woody Aquatic
Calvin Klein,Eternity for Men Summer 2014 Calvin Klein,3.81,75,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-for-Men-Summer-2014-23604.html,2026-02-22T00:53:01.640347,men,Aromatic Fougere
Calvin Klein,Eternity for Men Summer 2015 Calvin Klein,4.33,143,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-for-Men-Summer-2015-29629.html,2026-02-22T00:53:10.038906,men,Aromatic Fougere
Calvin Klein,Eternity for Men Summer 2016 Calvin Klein,3.82,72,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-for-Men-Summer-2016-35912.html,2026-02-22T00:53:19.037103,men,Aromatic Aquatic
Calvin Klein,Eternity for Men Summer 2017 Calvin Klein,3.79,96,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-for-Men-Summer-2017-43378.html,2026-02-22T00:53:26.506864,men,Woody Aromatic
Calvin Klein,Eternity For Men Summer 2019 Calvin Klein,3.85,94,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-For-Men-Summer-2019-54344.html,2026-02-22T00:53:34.673655,men,Aromatic Fougere
Calvin Klein,Eternity For Men Summer 2020 Calvin Klein,3.86,109,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-For-Men-Summer-2020-59859.html,2026-02-22T00:53:42.926729,men,Oriental Spicy
Calvin Klein,Eternity for Women Reflections Calvin Klein,3.51,87,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-for-Women-Reflections-79843.html,2026-02-22T00:53:51.118946,women,Floral Fruity
Calvin Klein,Eternity Intense Calvin Klein,3.8,615,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-Intense-41917.html,2026-02-22T00:53:59.240739,women,Floral
